keys,es,en
SPEED_0_2_JULIO_20XX_SPEED_ADDCFE,[speed=0.2]Julio - 20XX[/speed],algo en ingles
32_HS_SPEED_9FA293,[speed=0.2]20:32 hs[/speed],
ERA_DE_NOCHE_Y_EL_FR_O_SE_COLA_BB49E0,"Era de noche y el frío se colaba entre las persianas. El ambiente estaba quieto y silencioso, solo lo acompañaba el susurro del aire acondicionado que hacía poco y nada por calentar el pequeño monoambiente.",
LL_VESE_ESTE_AIRE_DEC_A_LE_AS_ECDFCC,"“Llévese este aire"" decía, "" le aseguro que no se arrepentirá” decía.",
YA_ME_LO_VOY_A_CRUZAR_Y_SE_LO_DDC5F1,Ya me lo voy a cruzar y se lo voy a revolear por la cabeza.,
CLACK_DA8098,¡Clack!,
CRACK_964A06,¡Crack!,
NO_PUEDE_SER_93C320,...No puede ser.,
SHAKE_RATE_20_LEVEL_10_YA_SE_18F7BD,[shake rate=20 level=10]¡¿Ya se rompió!?[/shake],
EN_EFECTO_SE_ROMPI_5DB1C7,"En efecto, se rompió.",
PERO_TODAV_A_NO_TERMIN_DE_PAG_B0F55B,¡Pero todavía no terminé de pagar todas las cuotas!,
Y_YA_NO_ME_QUEDA_UN_MANGO_PAR_44A4C6,¡Y ya no me queda un mango para comprar uno mejor!,
EN_ESE_INSTANTE_POR_LO_MENOS_P_009703,"En ese instante, por lo menos por un momento, el deseo de que algo pasara en las inseguras calles de Buenos Aires se coló en su inconsciente.",
SACUDI_LA_CABEZA_68938F,Sacudió la cabeza.,
ERA_UN_MONT_N_INCLUSO_PARA_L_CDAFEE,"Era un montón, incluso para él.",
_B1E3E8,...,
S_6FABE4,¿Sí?,
VENITE_PARA_EL_TEATRO_COL_N_YA_C4690E,Venite para el Teatro Colón ya.,
EL_DETECTIVE_ESTABA_SORPRENDID_7A81A3,El Detective estaba sorprendido.,
EL_TEATRO_2DF8F9,¿El Teatro?,
PERO_QU_PAS_B3D4E2,¿Pero qué pasó?,
NO_ME_DEJE_CON_LA_INTRIGA_JEF_2B8994,¡No me deje con la intriga Jefe!,
NO_HAY_TIEMPO_PARA_EXPLICACION_AACEBB,No hay tiempo para explicaciones. ¡Solo salí rajando para acá!,
QU_PAS_A7EFEA,¿Qué pasó?,
SI_ME_IBA_A_INVITAR_A_UNA_CITA_9E1258,Si me iba a invitar a una cita por lo menos podría ser más amable.,
DEJ_DE_DECIR_PELOTUDECES_A0DECD,Dejá de decir pelotudeces.,
ESTO_ES_SERIO_MATARON_A_ALGUIE_D11B70,Esto es serio... Mataron a alguien.,
I_UPS_I_14E0F4,...[i]Ups[/i].,
ES_UNA_CITA_B29373,¿Es una cita?,
HOLA_JEFE_C_MO_VA_SU_D_A_YO_ME_82C258,"Hola, Jefe, ¿cómo va su día? Yo me estoy cagando de frío.",
DE_MIL_COLORES_EFB94D,De mil colores.,
VEN_YA_759A55,¡Vení ya!,
MODALES_87100F,¡Modales!,
UN_POCO_DE_MALA_GANA_EL_DETECT_BBEE38,"Un poco de mala gana, el Detective fue por su libreta.",
BIEN_AH_SALGO_C58BD9,Bien. Ahí salgo.,
