keys,es,en
SPEED_0_2_JULIO_20XX_SPEED_227AC0,[speed=0.2]Julio - 20XX[/speed],[speed=0.2]July - 20XX[/speed]
32_HS_SPEED_4150C5,[speed=0.2]20:32 hs[/speed],[speed=0.2] 08:32 p. m.[/speed]
ERA_DE_NOCHE_Y_EL_FR_O_SE_COLA_70A78E,"Era de noche y el frío se colaba entre las persianas. El ambiente estaba quieto y silencioso, solo lo acompañaba el susurro del aire acondicionado que hacía poco y nada por calentar el pequeño monoambiente.","It was nighttime and the cold slipped through the blinds. The place was quiet and only accompanied by the calming whisper of the heater, which did almost nothing to warm up the small apartment. "
LL_VESE_ESTE_AIRE_DEC_A_LE_AS_0F28CC,"“Llévese este aire"" decía, "" le aseguro que no se arrepentirá” decía.","""Buy this heater,"" he said. ""I promise you will not regret it,"" he said."
YA_ME_LO_VOY_A_CRUZAR_Y_SE_LO_78D4D9,Ya me lo voy a cruzar y se lo voy a revolear por la cabeza.,One day I will bump into him and give him a piece of my mind.
CLACK_B1F818,¡Clack!,Clack!
CRACK_30AA9C,¡Crack!,Crack!
NO_PUEDE_SER_03C5D4,...No puede ser.,…You have to be kidding me.
SHAKE_RATE_20_LEVEL_10_YA_SE_CECDC4,[shake rate=20 level=10]¡¿Ya se rompió!?[/shake],[shake rate=20 level=10]It already broke down!?[/shake]
EN_EFECTO_SE_ROMPI_925882,"En efecto, se rompió.","Yes. Yes, it did."
PERO_TODAV_A_NO_TERMIN_DE_PAG_CE1EFA,¡Pero todavía no terminé de pagar todas las cuotas!,But I have not finished paying for it!
Y_YA_NO_ME_QUEDA_UN_MANGO_PAR_8085E2,¡Y ya no me queda un mango para comprar uno mejor!,And I have no money to buy a better one!
EN_ESE_INSTANTE_POR_LO_MENOS_P_803D02,"En ese instante, por lo menos por un momento, el deseo de que algo pasara en las inseguras calles de Buenos Aires se coló en su inconsciente.","At that moment, at least momentarily, the desire for something to occur in the dangerous streets of Buenos Aires crossed his mind."
SACUDI_LA_CABEZA_FC9778,Sacudió la cabeza.,He shook his head.
ERA_UN_MONT_N_INCLUSO_PARA_L_2C0E97,"Era un montón, incluso para él.",He shouldn't be having those kinds of thoughts.
_150B40,...,...
S_C11520,¿Sí?,Hello?
VENITE_PARA_EL_TEATRO_COL_N_YA_230D58,Venite para el Teatro Colón ya.,Get your ass to the Teatro Colón now.
EL_DETECTIVE_ESTABA_SORPRENDID_6192FA,El Detective estaba sorprendido.,The Detective was surprised.
EL_TEATRO_60FF83,¿El Teatro?,The theatre?
PERO_QU_PAS_C1230D,¿Pero qué pasó?,"But, what happened?"
NO_ME_DEJE_CON_LA_INTRIGA_JEF_3FF625,¡No me deje con la intriga Jefe!,You cannot leave me like this Boss!
NO_HAY_TIEMPO_PARA_EXPLICACION_B1EF7D,No hay tiempo para explicaciones. ¡Solo salí rajando para acá!,There's no time to explain. Just get here this instant!
QU_PAS_231178,¿Qué pasó?,What happened?
SI_ME_IBA_A_INVITAR_A_UNA_CITA_BC26AD,Si me iba a invitar a una cita por lo menos podría ser más amable.,"If you were planning on inviting me out, you could at least be nicer about it."
DEJ_DE_DECIR_PELOTUDECES_3F4003,Dejá de decir pelotudeces.,Stop it with your nonsense!
ESTO_ES_SERIO_MATARON_A_ALGUIE_09CDDC,Esto es serio... Mataron a alguien.,This is serious… Someone is dead.
I_UPS_I_F8FD26,...[i]Ups[/i].,...[i]Oops[/i].
ES_UNA_CITA_6C8E3C,¿Es una cita?,Is it a date?
HOLA_JEFE_C_MO_VA_SU_D_A_YO_ME_FFF72B,"Hola, Jefe, ¿cómo va su día? Yo me estoy cagando de frío.","Good evening, Boss. How are you? Me? I'm freezing to death."
DE_MIL_COLORES_2E1FFB,De mil colores.,I'm shooting rainbows out my behind.
VEN_YA_2C9CCD,¡Vení ya!,Get here now!
MODALES_61F8FB,¡Modales!,Manners!
UN_POCO_DE_MALA_GANA_EL_DETECT_4373BE,"Un poco de mala gana, el Detective fue por su libreta.","Kind of reluctantly, the Detective got his notebook."
BIEN_AH_SALGO_D757D0,Bien. Ahí salgo.,Alright. I'm on my way.
